project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004290,2049849,NCSU 29,None,None,None,
2004290,2049945,NRC41,RECONYX,PC800 PROFESSIONAL,None,
2004290,2077881,SWC_CAM2,,,,
2004290,2049885,NCSU 38,None,None,None,
2004290,2080615,Cam 4B,,,,
2004290,2049811,H500HH08217655,RECONYX,HC500 HYPERFIRE,None,
2004290,2049977,NRC 166,Reconyx,RapidFire,None,
2004290,2080614,Cam 4A,,,,
2004290,2050059,NRC 159,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049861,FWCB 1302,BUSHNELL,None,None,
2004290,2049780,NCSU 31\2,None,None,None,
2004290,2049959,NRC156,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049683,43,RECONYX,HC600 HYPERFIRE,None,
2004290,2050069,FWCB 3006,BUSHNELL,None,None,
2004290,2080640,Cam 12C,,,,
2004290,2049837,NCSU 1005,BUSHNELL,None,None,
2004290,2049949,NCSU16,None,None,None,
2004290,2050065,P800BD04101646,RECONYX,PC800 PROFESSIONAL,None,
2004290,2050031,NRC21,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049986,NCSU61,None,None,None,
2004290,2050025,NRC75,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049805,B151000203,BUSHNELL,None,None,
2004290,2049836,NRC 33,None,None,None,
2004290,2049832,P800FF05154981,RECONYX,PC800 PROFESSIONAL,None,
2004290,2050042,NCSU 23A,None,None,None,
2004290,2049951,56,G4,CUDDEBACK,None,
2004290,2049856,NRC187,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049824,4a,None,None,None,
2004290,2050005,NRC 248,RECONYX,HC500 HYPERFIRE,None,
2004290,2050006,NRC 191,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049905,A,RECONYX,UltraFire,None,
2004290,2049678,202,RECONYX,PC900 PROFESSIONAL,None,
2004290,2049926,NCSU 24,None,None,None,
2004290,2050074,NRC210,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049924,H500EE11142183,RECONYX,HC500 HYPERFIRE,None,
2004290,2049807,NCSU 17,None,None,None,
2004290,2049794,1002,BUSHNELL,None,None,
2004290,2049792,FWCB1010,BUSHNELL,None,None,
2004290,2049806,ncsu 33,None,None,None,
2004290,2049845,FWCB 1305,BUSHNELL,None,None,
2004290,2049816,NCSU FWCB 1013,BUSHNELL,None,None,
2004290,2049844,NRC 207,None,None,None,
2004290,2049840,NCSU13,None,None,None,
2004290,2049887,FW2108,Prometheus,BTC6HDPX,None,
2004290,2080637,Cam 11C,,,,
2004290,2049999,31A,None,None,None,
2004290,2049975,S03267090R,RECONYX,UltraFire,None,
2004290,2049665,32,C1000,CUDDEBACK,None,
2004290,2050067,NRC 285,RECONYX,HC500 HYPERFIRE,None,
2004290,2049901,NRC24,RECONYX,PC800 PROFESSIONAL,None,
2004290,2080651,Cam 16B,,,,
2004290,2049636,25,,,,
2004290,2049680,46,RECONYX,HC600 HYPERFIRE,None,
2004290,2049913,NCSU 46,None,None,None,
2004290,2050039,NCSU 36,None,None,None,
2004290,2050047,NRC 5,None,None,None,
2004290,2049980,NCSU53,None,None,None,
2004290,2049993,NRC 11,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049799,NRC276,RECONYX,HC500 HYPERFIRE,None,
2004290,2077880,SWC_CAM1,,,,
2004290,2049866,1004,BUSHNELL,None,None,
2004290,2049995,ncsu35,None,None,None,
2004290,2077901,SWC_CAM9,,,,
2004290,2080627,Cam 8B,,,,
2004290,2049804,H500HI07237558,RECONYX,HC500 HYPERFIRE,None,
2004290,2045714,8,C1000,CUDDEBACK,None,
